name,online_order,book_table,rate,votes,approx_cost(for two people),listed_in(type),listed_in(city),has_phone,restaurant_type,Indian_dish,Foreign_dish,Mixed_dish
Cake Ghar,Yes,No,3.8,15,400.0,Delivery,Banashankari,1,Bakery,0,1,0
Energy Addaa,Yes,No,4.2,64,500.0,Delivery,Banashankari,1,Quick Bites,0,1,0
Bhattara Bhojana,Yes,No,3.6,66,150.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Tandoori Knight,Yes,No,3.0,290,450.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Dev Sagar - Food Street,Yes,No,4.1,233,200.0,Delivery,Banashankari,1,Quick Bites,0,1,0
Mitraa Da Pizza,Yes,No,3.8,115,250.0,Delivery,Banashankari,1,Quick Bites,0,1,0
Paradise Premium,Yes,No,3.1,119,700.0,Delivery,Banashankari,1,Casual Dining,1,0,0
Grazers,Yes,Yes,3.9,291,650.0,Delivery,Banashankari,1,Cafe,0,1,0
Shakes Theory,Yes,No,4.5,155,300.0,Delivery,Banashankari,1,Beverage Shop,0,1,0
@Italy,Yes,No,4.1,305,700.0,Delivery,Banashankari,1,Casual Dining,0,1,0
Chilli Flakes,Yes,No,3.6,46,500.0,Delivery,Banashankari,1,Quick Bites,0,1,0
Calcutta Cafe,Yes,No,3.5,45,350.0,Delivery,Banashankari,1,Quick Bites,0,1,0
Old Mumbai Ice Cream,Yes,No,3.9,38,150.0,Delivery,Banashankari,1,Dessert Parlor,0,0,1
Donne Biriyani House,Yes,No,3.9,441,400.0,Delivery,Banashankari,1,Quick Bites,0,0,1
By 2 Coffee,Yes,No,3.9,25,100.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Kedia's Fun Food,Yes,No,4.3,630,200.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Davangere Butter Dosa Hotel,Yes,No,3.8,25,150.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Just Shawarma,Yes,No,3.9,160,300.0,Delivery,Banashankari,1,Quick Bites,0,1,0
Mini Punjabi Dhaba,Yes,No,4.2,287,350.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Mulabagilu Dosa,Yes,No,3.6,11,100.0,Delivery,Banashankari,1,Quick Bites,1,0,0
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1,402,500.0,Delivery,Banashankari,1,Cafe,0,1,0
Gokul Veg,Yes,No,3.8,469,750.0,Delivery,Banashankari,1,Casual Dining,0,0,1
Olive - Era,Yes,No,3.3,511,550.0,Delivery,Banashankari,1,Casual Dining,0,0,1
Udupi Ruchi,Yes,No,3.9,57,200.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Madhappa Hindu Military Hotel,Yes,No,3.4,14,300.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Gama Gama,Yes,No,3.9,264,200.0,Delivery,Banashankari,1,Quick Bites,1,0,0
The Vintage Cafe,Yes,No,3.0,62,400.0,Delivery,Banashankari,1,Cafe,0,0,1
Pizza Hut,Yes,No,3.8,693,750.0,Delivery,Banashankari,1,Casual Dining,0,1,0
Mangalore Pearl,Yes,No,3.8,242,650.0,Delivery,Banashankari,1,Casual Dining,0,0,1
Asha Sweets Centre,Yes,No,3.6,27,250.0,Delivery,Banashankari,1,Dessert Parlor,0,1,0
Twiststick House,Yes,No,4.1,163,500.0,Delivery,Banashankari,1,Quick Bites,0,1,0
Cool Corner,Yes,No,4.2,191,250.0,Delivery,Banashankari,1,Quick Bites,0,1,0
Pizza Mane,Yes,No,3.5,32,150.0,Delivery,Banashankari,1,Quick Bites,0,1,0
Dal Tadkaa,Yes,No,2.5,247,500.0,Delivery,Banashankari,1,Casual Dining,1,0,0
Chutney Chang,Yes,Yes,4.1,2339,1500.0,Delivery,Banashankari,1,Casual Dining,0,0,1
Mystique Palate,Yes,No,4.1,337,300.0,Delivery,Banashankari,1,Quick Bites,0,1,0
Thamboola,Yes,No,3.9,135,800.0,Delivery,Banashankari,1,Casual Dining,0,0,1
Castle Rock,Yes,No,3.6,172,700.0,Delivery,Banashankari,1,Casual Dining,0,0,1
Vietnamese Kitchen,Yes,No,3.6,105,700.0,Delivery,Banashankari,1,Casual Dining,0,1,0
Smacznego,Yes,No,4.2,504,550.0,Delivery,Banashankari,1,Cafe,0,1,0
C Corner,Yes,No,3.2,36,200.0,Delivery,Banashankari,1,Quick Bites,0,1,0
Paratha Merchant,Yes,No,3.1,39,300.0,Delivery,Banashankari,1,Quick Bites,1,0,0
North Rasoe,Yes,No,3.1,5,500.0,Delivery,Banashankari,1,Casual Dining,0,0,1
Inchara Restaurant,Yes,No,3.0,0,300.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Toscano,Yes,Yes,4.3,1129,1300.0,Delivery,Banashankari,1,Casual Dining,0,1,0
Lord Of The Kitchen,Yes,No,3.9,56,350.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Stoned Monkey,Yes,No,4.3,860,500.0,Delivery,Banashankari,1,Dessert Parlor,0,1,0
Central Jail Restaurant,Yes,No,3.8,412,700.0,Delivery,Banashankari,1,Casual Dining,0,0,1
Bella,Yes,Yes,3.9,142,1000.0,Delivery,Banashankari,1,Casual Dining,0,0,1
Vennela Andhra Meals,Yes,No,3.0,23,400.0,Delivery,Banashankari,1,Quick Bites,1,0,0
New Prashanth Hotel,Yes,No,3.6,143,750.0,Delivery,Banashankari,1,Casual Dining,0,0,1
The Grillo,Yes,Yes,2.8,80,500.0,Delivery,Banashankari,1,Casual Dining,0,0,1
Re Malnad Nati Style Hotel,Yes,No,3.6,16,400.0,Delivery,Banashankari,1,Casual Dining,1,0,0
Karma Kaapi,Yes,No,4.4,181,250.0,Delivery,Banashankari,1,Beverage Shop,0,1,0
Tiwari's,Yes,No,3.8,70,200.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Pizza Stop,Yes,No,3.8,164,600.0,Delivery,Banashankari,1,Quick Bites,0,1,0
Biggies Burger 'n' More,Yes,No,3.6,58,650.0,Delivery,Banashankari,1,Quick Bites,0,1,0
Srinathji's Cafe,No,No,3.8,148,550.0,Delivery,Banashankari,1,mixed,0,0,1
Kollapuri's,No,No,3.9,206,450.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Sugar Stars Co,No,No,5.0,0,300.0,Delivery,Banashankari,1,Bakery,0,1,0
Bombay Kulfis,No,No,3.691216896431196,0,200.0,Delivery,Banashankari,1,Dessert Parlor,0,0,1
Kadamba Classic,No,No,3.6,16,300.0,Delivery,Banashankari,0,Quick Bites,1,0,0
RS Shiv Sagar,No,No,3.7,217,450.0,Delivery,Banashankari,1,Casual Dining,0,0,1
Kholi Mane,No,No,3.6,46,450.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Harshi Super Sandwich,No,No,3.8,148,150.0,Delivery,Banashankari,1,Quick Bites,0,1,0
Cake Yard,No,No,3.4,30,250.0,Delivery,Banashankari,1,Dessert Parlor,0,1,0
Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,800.0,Delivery,Banashankari,1,Casual Dining,0,0,1
Sri Udupi Veg,No,No,3.3,4,250.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Cake Art,No,No,3.5,15,400.0,Delivery,Banashankari,1,mixed,0,1,0
Aahar Cafe,No,No,1.0,0,100.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Akash Gowdru Biryani Center,No,No,3.691216896431196,0,300.0,Delivery,Banashankari,1,Quick Bites,0,0,1
New Sri Udupi Restaurant,No,No,3.691216896431196,0,200.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Potato House,Yes,No,3.4,9,200.0,Delivery,Banashankari,1,Quick Bites,0,1,0
Hotel Biriyani Counter,No,No,3.0,0,350.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Matru Sagar,Yes,No,3.7,31,300.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Ugadi,Yes,No,2.9,177,700.0,Delivery,Banashankari,1,Casual Dining,0,0,1
Sri Krishna Sweets,Yes,No,3.7,22,250.0,Delivery,Banashankari,1,Sweet Shop,0,1,0
In Time Cane Juice,Yes,No,3.5,10,100.0,Delivery,Banashankari,1,Beverage Shop,0,1,0
Subway,Yes,No,3.7,136,600.0,Delivery,Banashankari,1,Quick Bites,0,1,0
Daal Roti,Yes,No,2.9,35,250.0,Delivery,Banashankari,1,Quick Bites,0,0,1
The Lassi Park,Yes,No,4.1,185,200.0,Delivery,Banashankari,1,Quick Bites,0,1,0
Cafe Coffee Day,Yes,No,3.2,17,900.0,Delivery,Banashankari,1,Cafe,0,1,0
A2B - Adyar Ananda Bhavan,Yes,No,3.8,155,400.0,Delivery,Banashankari,1,Casual Dining,0,0,1
Srikrishna Bhavan,Yes,No,3.8,42,300.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Timepass Dinner,Yes,No,3.8,286,600.0,Delivery,Banashankari,1,Casual Dining,1,0,0
Green Gardenia,Yes,No,3.8,160,700.0,Delivery,Banashankari,1,Casual Dining,0,0,1
J Spice,Yes,No,3.8,59,750.0,Delivery,Banashankari,1,Casual Dining,0,0,1
Karavali Family Restaurant,Yes,No,3.5,90,500.0,Delivery,Banashankari,1,Casual Dining,0,0,1
Karavali Lunch Home,Yes,No,3.7,51,350.0,Delivery,Banashankari,1,Quick Bites,1,0,0
Hatti Kaapi,Yes,No,4.0,89,200.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Kolkata Kathi Roll's,Yes,No,3.6,18,250.0,Delivery,Banashankari,1,Quick Bites,0,1,0
Upahara Darshini,Yes,No,3.9,40,600.0,Delivery,Banashankari,1,Casual Dining,0,0,1
The Chaat Shop,Yes,No,2.5,35,200.0,Delivery,Banashankari,1,Quick Bites,0,1,0
Anda Ka Funda,Yes,No,3.4,89,250.0,Delivery,Banashankari,1,Quick Bites,0,0,1
Shri Vinayaka Ice N Juice,Yes,No,3.2,11,150.0,Delivery,Banashankari,1,Quick Bites,0,1,0
My Tea House,Yes,No,3.6,62,600.0,Delivery,Banashankari,1,mixed,0,1,0
